Date,Apple,Amazon,Msft,Ibm,Spx
1/22/2015,2.60%,4.40%,2.64%,2.17%,1.53%
1/23/2015,0.52%,0.67%,0.11%,0.31%,-0.55%
1/26/2015,0.11%,-0.87%,-0.36%,0.31%,0.26%
1/27/2015,-3.50%,-0.94%,-9.25%,-1.72%,-1.34%
1/28/2015,5.65%,-0.93%,-3.45%,-1.38%,-1.35%
1/29/2015,3.11%,2.59%,1.99%,2.59%,0.95%
1/30/2015,-1.46%,13.71%,-3.83%,-1.40%,-1.30%
2/2/2015,1.25%,2.80%,2.18%,0.88%,1.30%
2/3/2015,0.02%,-0.25%,0.78%,2.46%,1.44%
2/4/2015,0.77%,0.33%,0.58%,-0.95%,-0.42%
2/5/2015,0.32%,2.51%,1.46%,0.61%,1.03%
2/6/2015,-0.84%,0.10%,-0.09%,-0.75%,-0.34%
2/9/2015,0.66%,-0.99%,-0.12%,-0.62%,-0.42%
2/10/2015,1.92%,0.66%,0.57%,1.80%,1.07%
2/11/2015,2.34%,0.57%,-0.52%,-0.23%,0.00%
2/12/2015,1.27%,0.54%,1.68%,0.20%,0.96%
2/13/2015,0.49%,1.24%,1.81%,1.19%,0.41%
2/17/2015,0.59%,-1.68%,-0.66%,0.35%,0.16%
2/18/2015,0.69%,-0.55%,-0.11%,0.76%,-0.03%
2/19/2015,-0.21%,1.51%,-0.07%,1.05%,-0.11%
2/20/2015,0.81%,1.23%,0.82%,-0.15%,0.61%
2/23/2015,2.71%,-0.92%,0.67%,-0.45%,-0.03%
2/24/2015,-0.62%,-0.41%,-0.14%,1.18%,0.28%
2/25/2015,-2.56%,1.79%,-0.23%,-1.23%,-0.08%
2/26/2015,1.26%,-0.15%,0.15%,-1.19%,-0.15%
2/27/2015,-1.50%,-1.21%,-0.47%,0.67%,-0.30%
3/2/2015,0.49%,1.45%,0.07%,-0.90%,0.61%
3/3/2015,0.21%,-0.27%,-1.37%,0.34%,-0.45%
3/4/2015,-0.63%,-0.49%,-0.52%,-1.00%,-0.44%
3/5/2015,-1.66%,1.34%,0.13%,1.10%,0.12%
3/6/2015,0.15%,-2.00%,-1.74%,-1.66%,-1.42%
3/9/2015,0.43%,-0.40%,1.16%,1.43%,0.39%
3/10/2015,-2.07%,-2.39%,-1.91%,-1.84%,-1.70%
3/11/2015,-1.82%,-0.85%,-0.12%,-0.64%,-0.19%
3/12/2015,1.81%,2.15%,-2.29%,0.75%,1.26%
3/13/2015,-0.69%,-0.98%,0.88%,-2.34%,-0.61%
3/16/2015,1.10%,0.75%,0.43%,1.81%,1.35%
3/17/2015,1.67%,-0.38%,0.32%,-0.08%,-0.33%
3/18/2015,1.13%,0.86%,1.93%,1.82%,1.22%
3/19/2015,-0.76%,-0.51%,-0.51%,0.00%,-0.49%
3/20/2015,-1.25%,1.41%,1.41%,1.92%,0.90%
3/23/2015,1.04%,-0.89%,-0.06%,1.07%,-0.17%
3/24/2015,-0.41%,-0.27%,0.11%,-0.99%,-0.61%
3/25/2015,-2.61%,-0.84%,-3.36%,-2.33%,-1.46%
3/26/2015,0.70%,-0.97%,-0.60%,0.87%,-0.24%
3/27/2015,-0.80%,0.87%,-0.58%,-0.12%,0.24%
3/30/2015,2.53%,1.09%,-0.02%,1.42%,1.22%
3/31/2015,-1.54%,-0.66%,-0.74%,-1.33%,-0.88%
4/1/2015,-0.14%,-0.50%,0.16%,-0.82%,-0.40%
4/2/2015,0.86%,0.54%,-1.06%,0.80%,0.35%
4/6/2015,1.62%,1.29%,3.11%,0.99%,0.66%
4/7/2015,-1.05%,-0.70%,-0.04%,0.02%,-0.21%
4/8/2015,-0.33%,1.81%,-0.26%,-0.14%,0.27%
4/9/2015,0.76%,0.61%,0.14%,0.30%,0.45%
4/10/2015,0.43%,-0.23%,0.58%,0.32%,0.52%
4/13/2015,-0.20%,-0.08%,0.10%,-0.29%,-0.46%
4/14/2015,-0.43%,0.72%,-0.26%,-0.05%,0.16%
4/15/2015,0.38%,-0.43%,1.45%,1.13%,0.51%
4/16/2015,-0.48%,0.68%,-0.22%,-0.61%,-0.08%
4/17/2015,-1.13%,-2.71%,-1.29%,-1.51%,-1.13%
4/20/2015,2.28%,3.71%,3.10%,3.42%,0.92%
4/21/2015,-0.54%,0.43%,-0.63%,-1.14%,-0.15%
4/22/2015,1.35%,-0.35%,0.82%,0.67%,0.51%
4/23/2015,0.82%,0.05%,0.83%,2.95%,0.24%
4/24/2015,0.47%,14.13%,10.45%,-0.27%,0.23%
4/27/2015,1.82%,-1.47%,0.33%,0.56%,-0.41%
4/28/2015,-1.58%,-2.11%,2.34%,1.87%,0.28%
4/29/2015,-1.47%,0.01%,-0.19%,0.28%,-0.37%
4/30/2015,-2.71%,-1.77%,-0.86%,-1.78%,-1.01%
5/1/2015,3.04%,0.26%,0.03%,1.39%,1.09%
5/4/2015,-0.19%,0.04%,-0.85%,0.17%,0.29%
5/5/2015,-2.25%,-0.44%,-1.33%,-0.51%,-1.18%
5/6/2015,-0.63%,-0.50%,-2.77%,-1.75%,-0.45%
5/7/2015,0.20%,1.86%,0.91%,0.55%,0.38%
5/8/2015,1.88%,1.60%,2.25%,0.99%,1.35%
5/11/2015,-1.02%,-0.19%,-0.80%,-0.90%,-0.51%
5/12/2015,-0.36%,-0.42%,-0.04%,-0.33%,-0.29%
5/13/2015,0.12%,-0.96%,0.58%,1.01%,-0.03%
5/14/2015,2.33%,1.27%,2.30%,1.03%,1.08%
5/15/2015,-0.14%,-1.45%,-0.87%,-0.45%,0.08%
5/18/2015,1.10%,-0.18%,-0.59%,-0.12%,0.30%
5/19/2015,-0.09%,-0.83%,-0.90%,0.24%,-0.06%
5/20/2015,-0.01%,0.51%,0.00%,0.16%,-0.09%
